TeamID,Team Name,Conference,Division
698,St. Louis Blues,Western Conference,Central
679,Colorado Avalanche,Western Conference,Central
702,Vegas Golden Knights,Western Conference,Pacific
683,Edmonton Oilers,Western Conference,Pacific
681,Dallas Stars,Western Conference,Central
704,Winnipeg Jets,Western Conference,Central
675,Calgary Flames,Western Conference,Pacific
701,Vancouver Canucks,Western Conference,Pacific
689,Nashville Predators,Western Conference,Central
687,Minnesota Wild,Western Conference,Central
671,Arizona Coyotes,Western Conference,Pacific
678,Chicago Blackhawks,Western Conference,Central
670,Anaheim Ducks,Western Conference,Pacific
685,Los Angeles Kings,Western Conference,Pacific
697,San Jose Sharks,Western Conference,Pacific
673,Boston Bruins,Eastern Conference,Atlantic
699,Tampa Bay Lightning,Eastern Conference,Atlantic
703,Washington Capitals,Eastern Conference,Metropolitan
695,Philadelphia Flyers,Eastern Conference,Metropolitan
696,Pittsburgh Penguins,Eastern Conference,Metropolitan
676,Carolina Hurricanes,Eastern Conference,Metropolitan
700,Toronto Maple Leafs,Eastern Conference,Atlantic
680,Columbus Blue Jackets,Eastern Conference,Metropolitan
691,New York Islanders,Eastern Conference,Metropolitan
692,New York Rangers,Eastern Conference,Metropolitan
684,Florida Panthers,Eastern Conference,Atlantic
688,Montreal Canadiens,Eastern Conference,Atlantic
674,Buffalo Sabres,Eastern Conference,Atlantic
690,New Jersey Devils,Eastern Conference,Metropolitan
693,Ottawa Senators,Eastern Conference,Atlantic
682,Detroit Red Wings,Eastern Conference,Atlantic
